"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"05.01.2017 01:00 - 05.01.2017 02:00","7493","7176"
"05.01.2017 02:00 - 05.01.2017 03:00","7401","7424"
"05.01.2017 03:00 - 05.01.2017 04:00","7620","7358"
"05.01.2017 04:00 - 05.01.2017 05:00","7625","7543"
"05.01.2017 05:00 - 05.01.2017 06:00","7749","7554"
"05.01.2017 06:00 - 05.01.2017 07:00","7934","7793"
"05.01.2017 07:00 - 05.01.2017 08:00","8582","7248"
"05.01.2017 08:00 - 05.01.2017 09:00","8917","7696"
"05.01.2017 09:00 - 05.01.2017 10:00","9137","8105"
"05.01.2017 10:00 - 05.01.2017 11:00","9229","8238"
"05.01.2017 11:00 - 05.01.2017 12:00","8943","8354"
"05.01.2017 12:00 - 05.01.2017 13:00","8722","8315"
"05.01.2017 13:00 - 05.01.2017 14:00","9351","8374"
"05.01.2017 14:00 - 05.01.2017 15:00","9083","8290"
"05.01.2017 15:00 - 05.01.2017 16:00","9144","8114"
"05.01.2017 16:00 - 05.01.2017 17:00","8953","8053"
"05.01.2017 17:00 - 05.01.2017 18:00","9773","8243"
"05.01.2017 18:00 - 05.01.2017 19:00","9932","8604"
"05.01.2017 19:00 - 05.01.2017 20:00","9645","8684"
"05.01.2017 20:00 - 05.01.2017 21:00","9331","8394"
"05.01.2017 21:00 - 05.01.2017 22:00","9108","8003"
"05.01.2017 22:00 - 05.01.2017 23:00","9373","7656"
"05.01.2017 23:00 - 06.01.2017 00:00","8468","7531"
"06.01.2017 00:00 - 06.01.2017 01:00","8514","7352"
"06.01.2017 01:00 - 06.01.2017 02:00","8292","7259"
"06.01.2017 02:00 - 06.01.2017 03:00","7955","7221"
"06.01.2017 03:00 - 06.01.2017 04:00","8033","7663"
"06.01.2017 04:00 - 06.01.2017 05:00","7894","7693"
"06.01.2017 05:00 - 06.01.2017 06:00","7892","7176"
"06.01.2017 06:00 - 06.01.2017 07:00","8522","7305"
"06.01.2017 07:00 - 06.01.2017 08:00","8655","7426"
"06.01.2017 08:00 - 06.01.2017 09:00","9443","7894"
"06.01.2017 09:00 - 06.01.2017 10:00","9569","8248"
"06.01.2017 10:00 - 06.01.2017 11:00","9568","8429"
"06.01.2017 11:00 - 06.01.2017 12:00","9383","8464"
"06.01.2017 12:00 - 06.01.2017 13:00","9413","8267"
"06.01.2017 13:00 - 06.01.2017 14:00","9180","8344"
"06.01.2017 14:00 - 06.01.2017 15:00","8787","8219"
"06.01.2017 15:00 - 06.01.2017 16:00","8728","7973"
"06.01.2017 16:00 - 06.01.2017 17:00","8908","7893"
"06.01.2017 17:00 - 06.01.2017 18:00","9587","8016"
"06.01.2017 18:00 - 06.01.2017 19:00","9825","8514"
"06.01.2017 19:00 - 06.01.2017 20:00","9691","8568"
"06.01.2017 20:00 - 06.01.2017 21:00","9464","8341"
"06.01.2017 21:00 - 06.01.2017 22:00","9003","7996"
"06.01.2017 22:00 - 06.01.2017 23:00","9416","7686"
"06.01.2017 23:00 - 07.01.2017 00:00","9386","7745"
"07.01.2017 00:00 - 07.01.2017 01:00","8517","7711"
"07.01.2017 01:00 - 07.01.2017 02:00","8252","7482"
"07.01.2017 02:00 - 07.01.2017 03:00","7983","7364"
"07.01.2017 03:00 - 07.01.2017 04:00","8033","7181"
"07.01.2017 04:00 - 07.01.2017 05:00","7847","7044"
"07.01.2017 05:00 - 07.01.2017 06:00","7431","7077"
"07.01.2017 06:00 - 07.01.2017 07:00","7772","7182"
"07.01.2017 07:00 - 07.01.2017 08:00","7775","6715"
"07.01.2017 08:00 - 07.01.2017 09:00","7850","6820"
"07.01.2017 09:00 - 07.01.2017 10:00","7990","7137"
"07.01.2017 10:00 - 07.01.2017 11:00","8243","7435"
"07.01.2017 11:00 - 07.01.2017 12:00","8066","7517"
"07.01.2017 12:00 - 07.01.2017 13:00","8387","7433"
"07.01.2017 13:00 - 07.01.2017 14:00","8626","7566"
"07.01.2017 14:00 - 07.01.2017 15:00","8533","7604"
"07.01.2017 15:00 - 07.01.2017 16:00","8235","7599"
"07.01.2017 16:00 - 07.01.2017 17:00","8408","7470"
"07.01.2017 17:00 - 07.01.2017 18:00","8754","7587"
"07.01.2017 18:00 - 07.01.2017 19:00","8685","7978"
"07.01.2017 19:00 - 07.01.2017 20:00","8701","7926"
